program_id,program_name,credential,study_mode,school,shape,status,custom_code,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
A600GRCERT,Business Analytics,Graduate Certificate,Full-time,School of Business + Media,"graduate cohort, capstone, laddering, subjective admissions",GREEN,none,6,6,active,244,281814708d356b3526f80cce7f342f68e511748ca690dcfb8940d447f3b24da8,True,[],[],https://www.bcit.ca/programs/business-analytics-graduate-certificate-full-time-a600grcert/
7985ACERT,Business Fundamentals,Associate Certificate,Full-time,School of Business + Media,short full-time cohort with two laddering/advanced-placement options,YELLOW,existing Batch 01 connector/pathway adapter; no new code,8,8,active,245,befd0c2b10d505b6a2287f12e8495cd1b313c7c8bf994300d1a4e2661674782b,True,[],[],https://www.bcit.ca/programs/business-fundamentals-associate-certificate-full-time-7985acert/
9975BBA,Bachelor of Business Administration,Bachelor of Business Administration,Full-time/Part-time,School of Business + Media,"degree completion, advanced placement, electives and pathways",YELLOW,existing Batch 01 connector/pathway adapter; no new code,18,18,active,246,b499d4964a156d6d47ab82ee094ebeb63cf2fd8a9b0b97d8c72fde8c10daa67b,True,[],[],https://www.bcit.ca/programs/bachelor-of-business-administration-bachelor-of-business-administration-full-time-part-time-9975bba/
6385ACERT,Digital Marketing Strategy,Associate Certificate,Part-time,School of Business + Media,Flexible Learning marketing certificate with flat current curriculum,GREEN,none,0,0,active,247,39756c6f57c9aede2ebc70bca215e684398507d90f03347670be8a167304f3ab,True,[],[],https://www.bcit.ca/programs/digital-marketing-strategy-associate-certificate-part-time-6385acert/
6130DIPMA,Television & Video Production,Diploma,Full-time,School of Business + Media,"media cohort, project work and industry practicum",GREEN,none,25,25,active,248,fad8e6399ca05af753b79eefb08e36a583dc8d129655e026f6289214912f6aa5,True,[],[],https://www.bcit.ca/programs/television-video-production-diploma-full-time-6130dipma/
5240ADVDIP,Technical Arts,Advanced Diploma,Full-time,School of Business + Media,advanced diploma with portfolio and production project,GREEN,none,15,15,active,249,bed7c9ccc5b04a183f6d24f4701085db7363efd28535d3017530bc145f8f04ff,True,[],[],https://www.bcit.ca/programs/technical-arts-advanced-diploma-full-time-5240advdip/
5540DIPMA,Computer Information Technology,Diploma,Full-time,School of Computing and Academic Studies,"computing cohort, option electives and co-op",YELLOW,existing Batch 01 connector/pathway adapter; no new code,30,30,active,250,333f19eb9746fe1989ff316523567e3e87c7756b72b742f38755cc9f03031be5,True,"[""duplicate course reference normalized during import: ACIT2911"", ""duplicate course reference normalized during import: ACIT4770""]",[],https://www.bcit.ca/programs/computer-information-technology-diploma-full-time-5540dipma/
6535CERT,Front-End Web Developer,Certificate,Full-time,School of Computing and Academic Studies,intensive computing certificate with portfolio,GREEN,none,13,13,active,251,6d3846c5fc4498e12a60c8c5a1c007009bcefd4921f5c9858539329ac91553b4,True,[],[],https://www.bcit.ca/programs/front-end-web-developer-certificate-full-time-6535cert/
8030BENG,Electrical Engineering,Bachelor of Engineering,Full-time,School of Energy,engineering degree with diploma entry and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,62,62,active,252,79ff3c34ef1b377a80991c10e8f0611530afe0b665e8d95f691748153b537b74,True,[],[],https://www.bcit.ca/programs/electrical-engineering-bachelor-of-engineering-full-time-8030beng/
8020BENG,Mechanical Engineering,Bachelor of Engineering,Full-time,School of Energy,engineering degree continuation and capstone,YELLOW,existing Batch 01 connector/pathway adapter; no new code,23,23,active,253,d8b118f7bcdeb53ccd7dd154fc23211625fbd00a0aa383f6b227e93c07693797,True,[],[],https://www.bcit.ca/programs/mechanical-engineering-bachelor-of-engineering-full-time-8020beng/
