program_id,program_name,credential,study_mode,school_domain,shape,status,adapter_classification,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
0800CM,Introductory Studies in Mass Timber Construction,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,0,0,active,565,07ffc6b5dba5e1ba3f81999a13e8e65c5c9c6aac5ed4c0bb2000a89476eb917a,True,[],[],https://www.bcit.ca/programs/introductory-studies-in-mass-timber-construction-microcredential-part-time-0800cm/
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,7,7,active,566,c69d34f6cec82fb683a6075f5190756a59764e192f595bc216f71f4e206f9eb3,True,[],[],https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/
0803CM,Script Supervision and Continuity for Film and TV,Microcredential,Part-time,School of Business + Media,microcredential with flat published curriculum,GREEN,none,5,5,active,567,ba84bf374231f7b3194fe0619c9293cbdcfe70b26539de95d10b502c7f20624b,True,[],[],https://www.bcit.ca/programs/script-supervision-and-continuity-for-film-and-tv-microcredential-part-time-0803cm/
0814CM,Essential Field Skills for Environmental Professionals,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,4,4,active,568,fc7573526e1fca3a807207c6d401e6f6b8e212b979345879d1fe0b65cac59961,True,[],[],https://www.bcit.ca/programs/essential-field-skills-for-environmental-professionals-microcredential-part-time-0814cm/
0815CM,Supervising Net-Zero and Passive House Construction,Microcredential,Part-time,School of Construction and the Environment,microcredential with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,569,b483eb0ee5909f6ad9252171cca52535b588727e4e9eefa95c09278d3fe1c813,True,[],[],https://www.bcit.ca/programs/supervising-net-zero-and-passive-house-construction-microcredential-part-time-0815cm/
0817CM,Introduction to Forest Health Quantification with RPAS,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,2,2,active,570,ca15cb97bffe418f576f7b0f21d837f3c75fbfa4472bda97af5e703e452f624c,True,[],[],https://www.bcit.ca/programs/introduction-to-forest-health-quantification-with-rpas-microcredential-part-time-0817cm/
0819CM,Essentials of Net-Zero and Passive House Construction,Microcredential,Part-time,School of Construction and the Environment,microcredential with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,571,ad456059859621d3da89a2e241bc922639c07fc7ebcd73ae2cea517e1f34f98a,True,[],[],https://www.bcit.ca/programs/essentials-of-net-zero-and-passive-house-construction-microcredential-part-time-0819cm/
0830CM,Whole-Building Life Cycle Assessment Professional,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,2,2,active,572,e7a4d26af2ac1624cda977ddfeed05d245f3bbf5806a7553eaccb9bb5afb9d02,True,[],[],https://www.bcit.ca/programs/whole-building-life-cycle-assessment-professional-microcredential-part-time-0830cm/
0836CM,Drone Applications for Environmental Risk Assessment,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,0,0,active,573,698ab97ba7728e66dd7f6c7f862f4f2e49db51d524210dc57b00b044d39be271,True,[],[],https://www.bcit.ca/programs/drone-applications-for-environmental-risk-assessment-microcredential-part-time-0836cm/
0853CM,Principles of Regenerative Building,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,3,3,active,574,a1a4895df4da3e5fdb8aa41f0a23bb07b27c7a0cb81ab0710261261f93a64047,True,[],[],https://www.bcit.ca/programs/principles-of-regenerative-building-microcredential-part-time-0853cm/
0854CM,Essentials of Community Energy and Emissions Management,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,6,6,active,575,a4e1eede673be1d3d09cbfe32ef8d1b6dfbe1cd58c331c189874b41b13a32c7b,True,[],[],https://www.bcit.ca/programs/essentials-of-community-energy-and-emissions-management-microcredential-part-time-0854cm/
0856CM,Retrofit Solutions for Rural Communities,Microcredential,Part-time,School of Construction and the Environment,microcredential with flat published curriculum,GREEN,none,2,2,active,576,96b9f5b901f32352cf6d5a10a96661ca14fdfe27466ace739a66f87ebd86f3ed,True,[],[],https://www.bcit.ca/programs/retrofit-solutions-for-rural-communities-microcredential-part-time-0856cm/
0859CM,Sexual and Reproductive Health Foundations,Microcredential,Part-time,School of Health Sciences,microcredential with clinical placement,GREEN,none,0,0,active,577,2f862cf7de3c1e65bb314b3291d603de54bbefbd7e1fc3d4f2bad7e64879fc2a,True,[],[],https://www.bcit.ca/programs/sexual-and-reproductive-health-foundations-microcredential-part-time-0859cm/
