program_id,program_name,credential,study_mode,school_domain,shape,status,adapter_classification,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
0805CM,Breast Sonography,Microcredential,Part-time,School of Health Sciences,microcredential with clinical placement,GREEN,none,1,1,active,449,9fa34afc28f067b3a8c981886985975d862e277bdcc8c46efe0192e7a9a21c9c,True,[],[],https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/
0806CM,Musculoskeletal Sonography,Microcredential,Part-time,School of Health Sciences,microcredential with clinical placement,GREEN,none,1,1,active,450,4911f3c9770d8c485d2f368759eed89795512d9f2f79ed25dc23e6b403fbec09,True,[],[],https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/
0811CM,Essentials of Data Networks,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,451,8f22d2c6b96d29b0fd14d68ef12a61e2888ebde7725e5811f42173fcb9bfa7d8,True,[],[],https://www.bcit.ca/programs/essentials-of-data-networks-microcredential-part-time-0811cm/
0812CM,Cybersecurity Analysis for Network Administrators,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,452,dd5ba9368539182809f8982eca07deec432ba81aadd5b30cf9b07dd83ccda4e5,True,[],[],https://www.bcit.ca/programs/cybersecurity-analysis-for-network-administrators-microcredential-part-time-0812cm/
0822CM,Food Safety Preventive Controls and HACCP Plans,Microcredential,Part-time,School of Health Sciences,microcredential with flat published curriculum,GREEN,none,1,1,active,453,4a0dac84c532f537a8abb7d2bd796bcda0192828254e7daa41816b3cac89e232,True,[],[],https://www.bcit.ca/programs/food-safety-preventive-controls-and-haccp-plans-microcredential-part-time-0822cm/
0823CM,Food Safety Management,Microcredential,Part-time,School of Health Sciences,microcredential with flat published curriculum,GREEN,none,1,1,active,454,a7624bd0829db1011a95fd7600f7c03a468def0e8f9923f0fa2ec79ffad9c480,True,[],[],https://www.bcit.ca/programs/food-safety-management-microcredential-part-time-0823cm/
0824CM,Animal Cell Culture,Microcredential,Part-time,School of Health Sciences,microcredential with flat published curriculum,GREEN,none,2,2,active,455,c5905eb9376928e9bd8d6e20f0ae056ee1f2965286adf71787bb80313cd5a911,True,[],[],https://www.bcit.ca/programs/animal-cell-culture-microcredential-part-time-0824cm/
0825CM,Canadian Employment Readiness (CER),Microcredential,Part-time,BCIT International,microcredential with flat published curriculum,GREEN,none,2,2,active,456,585acb635e1261489dd9d9f7cf3645ce8551e7cdb726b1a04735d604bf1e93aa,True,[],[],https://www.bcit.ca/programs/canadian-employment-readiness-cer-microcredential-part-time-0825cm/
0828CM,Student Mobility Preparedness,Microcredential,Part-time,BCIT International,microcredential with flat published curriculum,GREEN,none,3,3,active,457,aa72b64c5e613ad3d0e15812495696029039b3e7ed0e0c90ae23a188737c59d2,True,[],[],https://www.bcit.ca/programs/student-mobility-preparedness-microcredential-part-time-0828cm/
0829CM,Building Energy Modelling and Simulation,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,458,ae6d2e718ed2f0f2b06b292d440e51c652c732d001409d7c7b95c7edc8dcef29,True,[],[],https://www.bcit.ca/programs/building-energy-modelling-and-simulation-microcredential-part-time-0829cm/
0833CM,Forensic Nurse Death Investigator,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with clinical placement,GREEN,none,1,1,active,459,440d522d7866db62afb0e2d797a18fb5eba64f794ebbd1edb32bac7a22f233fe,True,[],[],https://www.bcit.ca/programs/forensic-nurse-death-investigator-microcredential-part-time-0833cm/
0835CM,International Education Practitioner - Foundation,Microcredential,Part-time,BCIT International,microcredential with flat published curriculum,GREEN,none,4,4,active,460,2fd7ad17229970247733db68a2b3d9f095734037a8986b8801a7fe929f02f222,True,[],[],https://www.bcit.ca/programs/international-education-practitioner-foundation-microcredential-part-time-0835cm/
0837CM,Foundational Digital Forensics Skills,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,461,82b4dd0ba841a24efab277dfab8f6dbef845401c0299c5dc5f6a49966c6205e0,True,[],[],https://www.bcit.ca/programs/foundational-digital-forensics-skills-microcredential-part-time-0837cm/
0838CM,Automotive Service Management Essentials,Microcredential,Part-time,School of Transportation,microcredential with flat published curriculum,GREEN,none,2,2,active,462,90af406c2e06cbd8b2839d5abd66c5bff7af6888b7a9853da2a4a670d0559b15,True,[],[],https://www.bcit.ca/programs/automotive-service-management-essentials-microcredential-part-time-0838cm/
0840CM,Introduction to Full-Stack Web Development,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,463,b4962eaed2816c0b9febde336b97f45491272ee1ac4c7c5bfa3d632d3bcb7ace,True,[],[],https://www.bcit.ca/programs/introduction-to-full-stack-web-development-microcredential-part-time-0840cm/
0841CM,Web Development Foundations (WDF),Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,464,4fc887cc22bf5d40d268587b589af98ab3d1284cca8210b06d70ef829c54070f,True,[],[],https://www.bcit.ca/programs/web-development-foundations-wdf-microcredential-part-time-0841cm/
0842CM,Data Visualization with MS Power BI,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with flat published curriculum,GREEN,none,0,0,active,465,5f9147c6ac9daf75ce5858921b5a1628841f2b30284a71c14b295dcdb9a3439c,True,[],[],https://www.bcit.ca/programs/data-visualization-with-ms-power-bi-microcredential-part-time-0842cm/
0843CM,Spanish Language and Culture Fundamentals,Microcredential,Part-time,BCIT International,microcredential with flat published curriculum,GREEN,none,2,2,active,466,dbc5cd8d7a53d7215e9eb92b8631ea86c84470d15728619cf764bae52da69597,True,[],[],https://www.bcit.ca/programs/spanish-language-and-culture-fundamentals-microcredential-part-time-0843cm/
0844CM,Fundamentals of Virtual Containers,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,2,2,active,467,aed2a806da91478dfd028c5f233245ea21ccae8d19c215eb77414b34586b11dc,True,[],[],https://www.bcit.ca/programs/fundamentals-of-virtual-containers-microcredential-part-time-0844cm/
0846CM,Sterile Field and the Aseptic Environment,Microcredential,Part-time,School of Health Sciences,microcredential with flat published curriculum,GREEN,none,0,0,active,468,8fe615851b041c95955c8c92b8e4665ad453fc3fb3f51c21321516c77d776c91,True,[],[],https://www.bcit.ca/programs/sterile-field-and-the-aseptic-environment-microcredential-part-time-0846cm/
0847CM,Wind Turbine Essentials,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,469,3e762c114b47063ae7dac363789c00a7f9ac8a3137bbd43ccbb5e3fd2d7aade8,True,[],[],https://www.bcit.ca/programs/wind-turbine-essentials-microcredential-part-time-0847cm/
0848CM,Advanced Topics in Networking,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,2,2,active,470,fda6622eeb0a647b9cad8b38d801586158bab0b1ec535cb3aea75ea7f1e0f9d0,True,[],[],https://www.bcit.ca/programs/advanced-topics-in-networking-microcredential-part-time-0848cm/
0849CM,Asbestos Awareness and Safety,Microcredential,Part-time,School of Health Sciences,microcredential with flat published curriculum,GREEN,none,0,0,active,471,3e04b588bd357cbb07f10fc6e0b7106a38e946a4606e6015080bf4a67b23f1f1,True,[],[],https://www.bcit.ca/programs/asbestos-awareness-and-safety-microcredential-part-time-0849cm/
0850CM,Fraud and Financial Crime Investigation,Microcredential,Part-time,School of Computing and Academic Studies,microcredential with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,4,4,active,472,afec0c3ad4d49c9865b3e066c85c8fb988b0cbb9ca53c7234f088c89f067b969,True,[],[],https://www.bcit.ca/programs/fraud-and-financial-crime-investigation-microcredential-part-time-0850cm/
0851CM,Aircraft Defect Inspection and Reporting Techniques,Microcredential,Part-time,School of Transportation,microcredential with flat published curriculum,GREEN,none,2,2,active,473,043629eacea5f6aafa1f9d468c553becba3b4429a1a14b6272a8a79215a7c9c4,True,[],[],https://www.bcit.ca/programs/aircraft-defect-inspection-and-reporting-techniques-microcredential-part-time-0851cm/
0852CM,Canadian Engineering Professional Practice,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,0,0,active,474,d2c7d062f87908783c9d6d23ae8b1ffcc41cb0ae13a5a8766df7ba9f208b01d9,True,[],[],https://www.bcit.ca/programs/canadian-engineering-professional-practice-microcredential-part-time-0852cm/
0855CM,Thermal Power Plant Simulation Proficiency,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,1,1,active,475,dd63adb21b11be3304c7068d11894121ab63fa12f70ca63dfe2434bbf0e2fa11,True,[],[],https://www.bcit.ca/programs/thermal-power-plant-simulation-proficiency-microcredential-part-time-0855cm/
0857CM,Automotive Collision Estimator,Microcredential,Part-time,School of Transportation,microcredential with flat published curriculum,GREEN,none,0,0,active,476,b65618e97e62275115cf5060a6073e7e9cac3dc39b0464950c1ce7def9602cb8,True,[],[],https://www.bcit.ca/programs/automotive-collision-estimator-microcredential-part-time-0857cm/
0860CM,Heat Pump Maintenance and Troubleshooting,Microcredential,Part-time,School of Energy,microcredential with flat published curriculum,GREEN,none,3,3,active,477,17ffc8370690b495b58d9323ef15393c2c9fdaa4d5e41b33150f705470ffebb2,True,[],[],https://www.bcit.ca/programs/heat-pump-maintenance-and-troubleshooting-microcredential-part-time-0860cm/
